a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
19-144754,2019-09-24,2019-10-21,['83'],Réalisation de forages d'essais pour une recherche en eau destinée à la consommation humaine pour la commune de Riboux (83),fns,cmp2006,appeloffre,initial,Com D'Agglo Sud Sainte Baume,83740,La cadiere d'azur,['Forage'],[132],non,non
19-130771,2019-09-24,2019-10-23,['84'],lot désamiantage-démolitionbâtiments colibris-alouettes- résidence joffre- Le Pontet,fns,cmp2006,appeloffre,initial,Communauté du Grand Avignon,84000,Avignon,['Démolition'],[87],oui,oui
19-140300,2019-09-24,2019-12-24,['84'],Travaux de réalisation d'équipements sportifs et de loisirs pour la Plaine des sports de la Ville d'Avignon,fns,cmp2006,attribution,initial,Ville d'Avignon,84045,Avignon cedex 9,"['Equipement sportif', 'Aire de jeux']","[113, 400]",non,oui
19-140632,2019-09-24,2019-12-24,['84'],Travaux d'aménagement de l'exposition Pignon Ernest Pignon - Palais des papes 2019,fns,cmp2006,attribution,initial,Ville d'Avignon,84045,Avignon cedex 9,"['Menuiserie', 'Peinture (travaux)']","[222, 264]",non,oui
19-143530,2019-09-24,2019-12-24,['84'],Travaux de rénovation du gymnase Philippe de Girard,fns,cmp2006,attribution,initial,Ville d'Avignon,84045,Avignon cedex 9,"['Carrelage', 'Cloison, faux plafond', 'Electricité (travaux)', 'Equipement sportif', 'Gros oeuvre', 'Menuiserie', 'Peinture (travaux)', 'Revêtements de sols', 'Serrurerie', 'Amiante (désamiantage)']","[53, 63, 105, 113, 144, 222, 264, 308, 321, 479]",oui,oui
19-144665,2019-09-24,2019-10-31,['84'],19-19 Nettoyage des locaux de la Communauté de communes,fns,cmp2006,appeloffre,initial,Cté Cnes des Pays des Sorgues,84800,L ISLE SUR LA SORGUE,"['Nettoyage de locaux', 'Prestations de services']","[239, 274]",non,non
19-145103,2019-09-24,2019-10-11,['84'],RD 907 - Réparation du VIPP au PR 53+1200 sur le canal de Crillon sur la commune d'AVIGNON,fns,cmp2006,appeloffre,rectificatif,Département de Vaucluse,84909,Avignon cedex 9,"['Génie civil', ""Ouvrage d'art""]","[141, 252]",non,non
19-145043,2019-09-24,2019-10-09,"['85', '49']","Mission de maîtrise d'oeuvre en vue de la réalisation de trois centrales photovoltaïques au sol, ainsi que la fourniture des modules",fns,cmp2006,appeloffre,initial,SAEML VENDEE ENERGIE,85036,LA ROCHE-SUR-YON,"['Electricité (travaux)', 'Génie civil', ""Maîtrise d'oeuvre"", 'Panneaux', 'Photovoltaïque']","[105, 141, 197, 261, 476]",non,non
19-145112,2019-09-24,2019-10-24,['85'],Marchés de travaux pour la restauration de l'église Saint-Julien sur la Commune de Petosse,fns,cmp2006,appeloffre,initial,Commune de Petosse (85),85570,Petosse,"['Charpente', 'Couverture', 'Maçonnerie', 'Paratonnerre', 'Vitraux']","[57, 74, 195, 411, 418]",non,non
19-145070,2019-09-24,2019-10-24,['86'],Location et maintenance de solutions d'impression monochromes et polychromes,fns,cmp2006,attribution,initial,UNiversité de Poitiers,86034,Poitiers,['Impression'],[160],non,non
19-144806,2019-09-24,2019-11-07,"['76', '75', '14', '27', '60', '80', '95', '78', '91']","Scénographie de l'exposition "" METIER D'ELEVE, METIER D'ENSEIGNANT """,mapa,cmp2006,appeloffre,initial,Réseau Canopé,86961,Futuroscope,['Stand'],[325],oui,oui
19-144818,2019-09-24,2019-10-30,['87'],LOCATION ET MAINTENANCE DE SOLUTIONS D'IMPRESSION DE LA COMMUNE D'ISLE - 03/2020 A 02/2024 -,mapa,cmp2006,appeloffre,initial,Ville d''Isle,87170,ISLE,"['Impression', 'Location (matériels)', 'Maintenance']","[160, 185, 196]",non,non
19-145081,2019-09-24,2019-10-21,['89'],"Travaux de renforcement de structures de chaussée par béton bitumineux de divers types sur les routes départementales, véloroutes et leurs dépendances, dans les collèges ainsi que dans les propriét..",fns,cmp2006,appeloffre,initial,DEPARTEMENT DE L YONNE,89089,Auxerre,['Terrassement'],[341],non,non
19-144695,2019-09-24,2019-11-24,['89'],Rénovation du mur Sennepy au parc de la Ballastière,mapa,cmp2006,appeloffre,initial,Communauté d'Agglomération gd Sénonais,89100,Sens,['Maçonnerie'],[195],non,non
19-145156,2019-09-24,2019-10-19,['89'],Rénovation de l'aire de jeux du Centre de loisirs de Saint Martin du Tertre,mapa,cmp2006,appeloffre,initial,Communauté d'Agglomération gd Sénonais,89100,Sens,['Aire de jeux'],[400],non,non
19-144855,2019-09-24,2019-11-06,['91'],"Accord cadre de formations infrastructures, d'ouvrages d'art, d'exploitations routières et transports",fns,cmp2006,appeloffre,initial,Conseil général de l'Essonne,91012,Evry-courcouronnes cedex,['Formation'],[410],non,non
19-144854,2019-09-24,2019-10-25,['91'],Prospection des sociétés dans le domaine des biotechnologies,mapa,cmp2006,appeloffre,initial,GENOPOLE,91030,Evry cedex,['Prestations de services'],[274],non,non
19-144875,2019-09-24,2019-10-22,['91'],Réservation de places d'accueil pour des enfants âgés de 10 semaines à moins de 4 ans dans des structures d'accueil collectif d'Epinay sur Orge,fns,cmp2006,appeloffre,initial,VILLE D'EPINAY-SUR-ORGE,91360,Epinay-sur-Orge,['Prestations de services'],[274],non,non
19-144902,2019-09-24,2019-10-07,['91'],"Couplage d'un détecteur spectromètre de masse à un système "" HPLC existant.",mapa,cmp2006,appeloffre,initial,UNIVERSITE DE PARIS XI PARIS SUD,91400,Orsay,['Equipements spécialisés'],[115],non,non
19-144667,2019-09-24,2019-10-31,['91'],Travaux de création d'un office de restauration et d'un accueil périscolaire en extension de la maternelle Pasteur - rue des Ecoles à Ballancourt-sur-Essonne,fns,cmp2006,appeloffre,initial,Commune de Ballancourt-sur-Essonne,91610,Ballancourt sur Essonne,"['Bâtiment', 'Menuiserie']","[33, 222]",non,oui
19-144769,2019-09-24,2019-10-24,['91'],"Travaux de curage, d'Assainissement et diagnostic de réseaux",fns,cmp2006,appeloffre,initial,Ville d'Epinay sous Sénart,91860,Epinay sous Senart,"[""Tous corps d'état""]",[345],oui,non
19-143893,2019-09-24,2019-10-31,['91'],Fournitures des produits et matériels d'entretien,joue,directive24,attribution,initial,Ville des Ulis,91940,Les ulis,"['Abris', ""Produits d'entretien""]","[1, 278]",non,non
19-144793,2019-09-24,2019-10-18,['92'],Maîtrise d'oeuvre des travaux de modernisation et de mise aux normes du parc élévateur du territoire Vallée Sud-Grand Paris,fns,cmp2006,appeloffre,initial,Vallée Sud - Grand Paris,92260,Fontenay-aux-Roses,"['Appareil élévateur', 'Ascenseur', ""Maîtrise d'oeuvre""]","[11, 17, 197]",non,non
19-144536,2019-09-24,2019-11-30,['92'],Délégation de service public pour la gestion et l'exploitation d'un marché forain pour le compte de la ville de Châtenay-Malabry,dsp,autre,attribution,initial,COMMUNE DE CHATENAY MALABRY,92290,Chatenay-malabry,['Prestations de services'],[274],non,non
19-144918,2019-09-24,2019-11-24,['92'],Travaux de réfection des sous-sols des bâtiments no 18 et 24 du site de Sèvres,fns,cmp2006,attribution,initial,ETS PUB CITE CERAMIQUE SEVRES LIMOGES,92310,Sèvres,"['Electricité (travaux)', 'Maçonnerie', 'Menuiserie', 'Ventilation', 'Amiante (désamiantage)']","[105, 195, 222, 360, 479]",non,non
19-144887,2019-09-24,2019-10-07,['92'],Le présent marché a pour objet : Des travaux d'aménagement intérieur et extérieur d'une crèche de 40 berceaux dans un local livré brut.Surfaces RDC : 776 m2 SU environAire extérieur 336 m,fns,cmp2006,appeloffre,rectificatif,Ville d'Asnières-sur-Seine,92600,Asnières sur seine,['Bâtiment'],[33],non,non
19-145139,2019-09-24,2019-10-09,['93'],Prestations de lessivage des murs et des cuisines dans les bâtiments départementaux,fns,cmp2006,appeloffre,initial,DEPARTEMENT DE LA SEINE SAINT DENIS,93000,BOBIGNY,['Nettoyage de locaux'],[239],non,oui
19-144019,2019-09-24,2019-10-25,['93'],"Souscription et gestion des contrats d'assurance, comportant 2 lots: Lot 1 : Complémentaire santé Lot 2 : Prévoyance",joue,directive24,appeloffre,initial,OPH de Bobigny,93000,Bobigny,['Assurance'],[20],non,non
19-144999,2019-09-24,2019-10-21,"['93', '59', '60', '75', '92', '95']",organisation du banquet en direction des seniors de la ville de bobigny pour l'année 2020,mapa,cmp2006,appeloffre,initial,CENTRE COMMUNAL D ACTION SOCIALE,93000,bobigny,"['Prestations de services', 'Repas, traiteur', 'Evénementiel', 'Spectacle']","[274, 304, 445, 472]",non,non
19-144324,2019-09-24,2019-10-31,"['93', '77', '78']",prestation de collecte et de traitement des déchets d'activité de soins des établissements de l'ugecam ile de france,fns,cmp2006,appeloffre,initial,UGECAM Ile de France,93100,Montreuil,['Déchets non ménagers (prestations)'],[404],non,non
19-144689,2019-09-24,2019-10-16,['93'],ASSURANCES DE LA COMMUNE ANNEE 2020LOT N°1 : MULTIRISQUE DES BATIMENTS COMMUNAUX (174 883 M²)LOT N°2 : POLICE FLOTTE AUTOMOBILE (224 VEHICULES)LOT N°3 : POLICE RESPONSABILITE CIVILE (MASSE SALAR,fns,cmp2006,appeloffre,initial,COMMUNE DE BLANC MESNIL,93150,LE BLANC MESNIL,['Assurance'],[20],non,non
19-145023,2019-09-24,2019-11-21,['93'],Fourniture (location) et entretien des vêtements de travail et fourniture (acquisition) des équipements de protection individuelle (EPI) et collective (EPC) pour l'EPT Grand Paris Grand Est.à ti,fns,cmp2006,appeloffre,initial,GRAND PARIS GRAND EST,93160,Noisy le grand,['Equipements spécialisés'],[115],non,non
19-144655,2019-09-24,2019-10-16,['93'],"Travaux d'aménagement de la rue du Pilier (phase 3) à Aubervilliers (93) - Lot 1 VRD et éclairage public.La SPL Plaine Commune Développement agit en tant que mandataire, au nom et pour le compte",fns,cmp2006,appeloffre,initial,SPL Plaine Commune Développement,93210,Saint-denis la plaine,"['Eclairage public', 'Voirie et réseaux divers']","[102, 366]",oui,oui
19-145138,2019-09-24,2019-10-21,['93'],Fourniture et la livraison d'ordinateurs,mapa,cmp2006,appeloffre,initial,COMMUNE DE GAGNY,93220,Gagny,['Informatique (matériel)'],[162],non,non
19-144643,2019-09-24,2019-10-18,['94'],"ACHAT D'UN VÉHICULE (3,5T) AMENAGE EN MEDIATHEQUE POUR LE RÉSEAU DE LECTURE PUBLIQUE DE GPSEA",fns,cmp2006,appeloffre,initial,GRAND PARIS SUD EST AVENIR,94046,Créteil,['Véhicules (acquisition)'],[475],non,oui
19-144742,2019-09-24,2019-10-09,['94'],"Accords, maintenance et entretien des pianos droits et à queue des 7 conservatoires de GPSEA - années 2019-2022. Lot no1 : Conservatoire d'Alfortville (19 pianos)",mapa,cmp2006,appeloffre,initial,GRAND PARIS SUD EST AVENIR,94046,Creteil,['Maintenance'],[196],non,oui
19-145065,2019-09-24,2019-12-22,['94'],"Mission de programmation relative à l'aménagement intérieur des bâtiments K, L et P du site de l'IGN de Saint-Mandé",mapa,cmp2006,attribution,initial,Institut Geographique National,94165,Saint-Mandé,"[""Assistance à maîtrise d'ouvrage"", 'Ingénierie']","[433, 455]",non,non
19-143972,2019-09-24,2020-06-24,['94'],Fourniture de couches jetables aux équipements accueillant des jeunes enfants âgés de 0 à 4 ans,joue,directive24,appeloffre,initial,COMMUNE D IVRY SUR SEINE,94205,Ivry-sur-Seine cedex,['Couches'],[73],oui,oui
19-145145,2019-09-24,2019-10-28,['94'],Numéro de la consultation : PA19-22 Aménagement d'un terrain de mini football au stade des Esselières,mapa,cmp2006,appeloffre,initial,COMMUNE LE KREMLIN BICETRE,94270,LE KREMLIN-BICETRE,['Aire de jeux'],[400],non,non
19-144893,2019-09-24,2019-10-18,['94'],Travaux d'aménagement d'un espace de co-working à Saint Maur des Fossés EPT ParisEstMarne&Bois,fns,cmp2006,appeloffre,initial,EPT Paris Est Marne & Bois,94340,Joinville-le-pont,['Bâtiment'],[33],non,non
19-143910,2019-09-24,2019-10-23,['94'],Acquisition de pièces détachées neuves pour véhicules légers et utilitaires en 2019 (éventuellement reconductible en 2020-2021-2022) 3 lots,joue,directive24,attribution,initial,COMMUNE DE VITRY SUR SEINE,94400,Vitry-sur-seine,['Pièces détachées'],[266],non,oui
19-144686,2019-09-24,2019-11-13,['94'],Mission de maitrise d'oeuvre technique pour la réfection et l'amélioration des installations de ventilation et de chauffage de l'établissement multi-accueil 'forum' de la vill,fns,cmp2006,appeloffre,initial,Ville de Boissy-saint-Léger,94470,Boissy saint léger,"[""Maîtrise d'oeuvre""]",[197],non,non
19-145035,2019-09-24,2019-10-16,['95'],"La présente consultation a pour objet le diagnostic à propos d'un axe de "" référent de parcours "" dans le champ social",mapa,cmp2006,appeloffre,initial,Conseil général du Val d'Oise,95032,Cergy pontoise cedex,['Prestations de services'],[274],non,non
19-144736,2019-09-24,2019-10-30,['95'],Maintenance préventive et corrective des machines des cimetières (relance suite à procédure infructueuse),mapa,cmp2006,appeloffre,initial,Ville de Sarcelles,95200,SARCELLES,"['Machines-outils', 'Maintenance', 'Cimetière']","[194, 196, 437]",non,non
19-144723,2019-09-24,2019-10-15,['95'],"Travaux de maintenance des installations d éclairage du domaine privé, des terrains de sport et des illuminations de fin d année.",fns,cmp2006,appeloffre,initial,COMMUNE DE JOUY LE MOUTIER,95280,Jouy le moutier,"['Eclairage public', 'Illumination']","[102, 170]",non,non
19-144694,2019-09-24,2019-10-15,"['95', '77']",Numéro de la consultation : 19091-93 Fournitures et plantations de végétaux,fns,cmp2006,appeloffre,initial,COMMUNAUTE D AGL ROISSY PAYS DE FRANCE,95700,ROISSY EN FRANCE,"['Matériel agricole, horticole', 'Végétaux']","[200, 358]",non,oui
19-144885,2019-09-24,2019-11-24,['95'],Le présent accord-cadre a pour objet l'entretien et la réparation des véhicules légers et des petits utilitaires du parc automobile de la Ville d'Enghien-les-Bains.,fns,cmp2006,attribution,initial,COMMUNE DE ENGHIEN LES BAINS,95880,Enghien-les-bains,['Prestations de services'],[274],non,non
19-129697,2019-09-24,2019-10-14,['971'],travaux de carrosserie du container des deux cyberbus de la région guadeloupe,mapa,cmp2006,appeloffre,initial,Région Guadeloupe,97100,Basse-Terre,['Mécanique'],[221],non,non
19-143838,2019-09-24,2019-09-30,['971'],accords-cadres avec marchés subséquents pour des fournitures de denrées alimentaires (rectificatif),joue,autre,rectificatif,rectificatif,CAISSE DES ECOLES DE LAMENTIN,97129,LAMENTIN,['Denrées alimentaires'],[88],oui,oui
19-129105,2019-09-24,2019-10-02,['971'],Maintenance et dépannage d'onduleurs et sources centrales d'éclairage de sécurité - RELANCE,fns,cmp2006,attribution,initial,Grand Port Maritime de la Guadeloupe,97165,Pointe-à-Pitre Cedex,['Maintenance'],[196],non,non
19-145216,2019-09-24,2019-10-31,['972'],Travaux de mise en lumière architecturale de l'église saint-laurent du Lamentin,fns,cmp2006,attribution,initial,Ville du Lamentin,97232,Le Lamentin Martinique,['Electricité (travaux)'],[105],non,non
19-145121,2019-09-24,2019-10-31,['972'],"Travaux de réparation et entretien de carrosserie, peinture et sellerie-garnissage du matériel roulant de la ville du lamentin",fns,cmp2006,attribution,initial,Ville du Lamentin,97232,Le Lamentin Martinique,['Maintenance'],[196],non,non
19-145221,2019-09-24,2019-10-08,['972'],analyse d'eau relative à la potabilité et la recherche de légionnelles des sites hospitaliers du chu de martinique,mapa,cmp2006,appeloffre,annulation,CHU de Martinique,97261,Fort-de-France Cedex,"['Analyses médicales, biologiques']",[8],non,non
19-145086,2019-09-24,2019-10-18,['972'],Morne Desaix - Rénovation du bâtiment logement collectif no 147.,fns,cmp2006,appeloffre,initial,MINDEF/SGA/DCSID/DID FdF,97261,Fort-de-france cedex,"[""Tous corps d'état""]",[345],non,oui
19-145222,2019-09-24,2019-10-31,['972'],prestation de lutte contre les nuisibles au chu de martinique,mapa,cmp2006,appeloffre,annulation,CHU de Martinique,97261,Fort-de-France Cedex,['Prestations de services'],[274],non,non
19-145219,2019-09-24,2019-10-16,['973'],Délimitation collective des parcelles agricoles,fns,cmp2006,appeloffre,initial,COLLECTIVITE TERRITORIALE DE GUYANE,97307,CAYENNE,['Travaux agricoles'],[348],non,non
19-144512,2019-09-24,2019-10-18,['974'],mission d'assistance à maîtrise d'ouvrage pour la passation de nouveaux contrats publics relatifs à l'exploitation du port de pêche et de plaisance de sainte-marie,mapa,cmp2006,appeloffre,initial,CINOR,97495,Sainte Clotilde CEDEX,"[""Assistance à maîtrise d'ouvrage""]",[433],non,oui
19-144534,2019-09-24,2019-10-10,['974'],Acquisition d'un microscope confocal/apotome ou équivalent,fns,cmp2006,appeloffre,initial,Université de la Réunion,97744,Saint-denis cedex 9,['Equipements spécialisés'],[115],non,non
19-144964,2019-09-24,2019-10-17,['974'],Carénage du chaland Marie-Jeanne,fns,cmp2006,appeloffre,initial,Grand Port Maritime de La Réunion,97821,Le Port,"['Chaudronnerie', 'Ferronnerie', 'Mécanique', 'Métallerie', 'Peinture (travaux)']","[58, 126, 221, 223, 264]",non,non
