;a00_cle_idweb;d01_07_cp;d01_08_ville;d01_01_denomination;g04_052_descripteurs_libelles;g04_09_resume_objet;g04_061_criteres_sociaux;g01_02_02_perimetre;g01_02_01_famille;g01_02_03_nature;g01_02_04_statut;g04_062_criteres_environnementaux;g04_01_date_publication
341;19-141676;73155;VAL D'ISERE CEDEX;COMMUNE DE VAL D ISERE;['Véhicules (acquisition)'];acquisition d'un fourgon nacelle;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
342;19-140873;73155;Val D'Isere Cedex;COMMUNE DE VAL D ISERE;['Machines-outils', 'Véhicules (location)', 'Véhicules (acquisition)'];Renouvellement chenillettes de damage;non;directive24;joue;attribution;initial;non;2019-09-18
343;19-140519;74003;Annecy;SIBRA;['Transport'];Accord-cadre no2019-02 relatif à l'exécution des lignes du Semnoz en hiver pour le compte de la Sibra;non;directive24;joue;appeloffre;initial;non;2019-09-18
344;19-140962;74130;Bonneville;Cté de Cnes de Faucigny-Glières;['Transport'];Transports privés périscolaire et extrascolaire;non;directive24;joue;attribution;initial;non;2019-09-18
345;19-141983;74210;FAVERGES-SEYTHENEX;Ville de Faverges;['Cloison, faux plafond', 'Isolation', 'Plomberie (travaux)'];Travaux d'aménagement d'un relais assistantes maternelles et d'un centre médical intercommunal de Faverges-Seythenex pour le mobilier, l'agencement et la signalétique;non;cmp2006;fns;attribution;initial;non;2019-09-18
346;19-141786;74430;SEYTROUX;Mairie de Seytroux;['Bâtiment'];EXTENSION ECOLE - REFECTOIRE et CLASSE 3 - Lot 8 Chape, Faïence et carrelage et Lot 17 Parement pierres;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
347;19-142204;74450;LE GRAND BORNAND;Commune du Grand-Bornand;"[""Maîtrise d'oeuvre""]";Maîtrise d'oeuvre pour la réhabilitation de la Maison Augusta en logements saisonniers;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
348;19-141061;74500;Publier;COM COMMUNES PAYS EVIAN VAL ABONDANCE;['Nettoyage de locaux'];Nettoyage des locaux appartenant à la Communauté de Communes Pays d'Evian Vallée d'Abondance;non;directive24;joue;attribution;initial;oui;2019-09-18
349;19-140177;74805;La Roche Sur Foron;Ville de la Roche sur Foron;['Assurance'];Prestations d'assurance pour la commune de la Roche sur Foron et son Ccas;non;directive24;joue;appeloffre;initial;non;2019-09-18
350;19-142151;75001;Paris;Cour des comptes;['Chauffage (travaux)', 'Plomberie (travaux)', 'Ventilation'];Travaux de plomberie, ventilation et chauffage, dans le cadre de la restructuration des circulations verticales et des pièces connexes situées au 44 rue du Mont Thabor;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
351;19-140365;75001;Paris;Syctom;['Déchetterie (exploitation)'];Mise en place et exploitation de déchèteries fluviales - Seine Amont (lot 1) - Seine Aval (lot 2);non;autre;joue;rectificatif;rectificatif;non;2019-09-18
352;19-142150;75001;Paris;Cour des comptes;['Audit', 'Etude'];Expertise sur l'évaluation des engagements de l'État au titre du soutien aux énergies renouvelables et à la péréquation tarifaire - certification des comptes de l'État de l'exercic;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
353;19-140275;75002;Paris;Etablt Public du Campus de Jussieu;"[""Maîtrise d'oeuvre""]";Marché de maîtrise d'oeuvre pour l'installation, dans le bâtiment Pasteur du centre hospitalier Charles-Foix à Ivry-sur-Seine (94), d'un Institut de recherches universitaires sur l&apos;non;directive24;joue;attribution;initial;non;2019-09-18
354;19-140286;75004;Paris;Centre des monuments nationaux;['Habillement'];fourniture de deguisements historiques pour enfants pour le centre des monuments nationaux;non;directive24;joue;appeloffre;initial;oui;2019-09-18
355;19-141921;75005;Paris;Rectorat de Paris Sorbonne- DPCU;['Couverture'];Marché de travaux de réfection de la couverture en tuiles de l'annexe Raffet du lycée Jean Zay 30 rue Raffet à Paris 75016.;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
356;19-142091;75006;Paris;PARIS SCIENCES LETTRES QUARTIER LATIN;['Gros oeuvre'];Conception et réalisation d'aménagements dans un ensemble immobilier situé au 3 rue Amyot 75005 Paris pour la création d'un centre de formation et de recherche dans un ERP de 3ème catégorie;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
357;19-141991;75006;Paris;PARIS SCIENCES LETTRES QUARTIER LATIN;['Gros oeuvre'];Conception et réalisation d'aménagements dans un ensemble immobilier situé au 3 rue Amyot 75005 Paris pour la création d'un centre de formation et de recherche dans un ERP de 3ème catégorie;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
358;19-140162;75007;Paris;CAISSE DES DEPOTS;['Formation'];"Prestations d'accompagnement de type "" coaching "" de cadres dirigeants, managers et autres collaborateurs incluant l'accompagnement d'équipe";non;directive24;joue;attribution;initial;non;2019-09-18
359;19-140576;75007;Paris;Ministères santé, travail et sport;['Informatique (prestations de services)'];NJORD - Hébergement et exploitation des sites éditoriaux et applications critiques;non;directive24;joue;appeloffre;initial;non;2019-09-18
360;19-138739;75007;Paris;Assemblée Nationale;['Maintenance'];marché 2019saip-19 : maintenance des appareils d'inspection à rayons x de l'assemblée nationale;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
361;19-142003;75008;PARIS;SIGEIF;['Etude'];Mission d'assistance technique pour la réalisation de schémas d'implantation d'infrastructures de recharge pour véhicules électriques;non;cmp2006;fns;attribution;initial;non;2019-09-18
362;19-140342;75008;Paris;APCA;['Prestations de services'];Prestations de services généraux sur le site de l'Apca;non;directive24;joue;attribution;initial;non;2019-09-18
363;19-140948;75008;Paris;APCA;['Informatique (prestations de services)'];Tierce maintenance applicative, infogérance et assistance de niveau 3 de l'outil de publication des sites internet et extranet des Chambres d'agriculture;non;directive24;joue;appeloffre;initial;non;2019-09-18
364;19-140305;75009;PARIS;AFLD;"['Informatique (prestations de services)', ""Assistance à maîtrise d'ouvrage""]";"ACCORD-CADRE RELATIF A "" L'ASSISTANCE A LA MAITRISE D'OUVRAGE POUR LES SPECIFICATIONS ET LES TESTS DE L'OUTIL METIER MAGELLAN (LOT 1) ""& "" HEBERGEMENT DE LA SOLUTION (LOT 2) """;non;directive24;joue;appeloffre;initial;non;2019-09-18
365;19-140701;75009;PARIS;OPERATEUR COMPETENCES INTERINDUSTRIEL;['Audit', 'Prestations de services'];Mission Légale de commissariat aux comptes de l'OPCO 2i : exercices 2019 à 2024;non;directive24;joue;appeloffre;initial;non;2019-09-18
366;19-140752;75009;PARIS;OPERATEUR COMPETENCES INTERINDUSTRIEL;['Prestations de services'];Externalisation des prestations de paie et d'administration du personnel;non;directive24;joue;appeloffre;initial;non;2019-09-18
367;19-140508;75012;Paris;SIAAP;['Chauffage (exploitation, entretien)', 'Climatisation', 'Maintenance', 'Ventilation'];Maintenance des installations de CVC (Climatisation, Ventilation, Chauffage) et d'aéraulique industrielle des sites et usines du SIAAP.;non;directive24;joue;appeloffre;initial;non;2019-09-18
368;19-141723;75012;Paris;EPTB Seine Grands Lacs;['Serrurerie'];Accord-cadre mono-attributaire pour l'achat de cadenas et cylindres;non;cmp2006;fns;attribution;initial;non;2019-09-18
369;19-140774;75013;Paris;EAU DE PARIS;['Assurance'];Service D'Assurance Responsabilite Civile;non;directive25;joue;appeloffre;initial;non;2019-09-18
370;19-140415;75013;Paris;IRCANTEC;['Expertise comptable'];Mandat de commissariat aux comptes de l'Ircantec;non;directive24;joue;appeloffre;initial;non;2019-09-18
371;19-140192;75014;PARIS;Centrale d'Achat du Transport Public;['Véhicules (location)'];Accord-cadre relatif à la location de véhicules thermiques;non;directive24;joue;attribution;initial;non;2019-09-18
372;19-140976;75018;Paris;ASSISTANCE PUBLIQUE HOPITAUX DE PARIS;['Détection incendie'];Maintenance et verification technique portes coupe feu coulissantes et dispositifs desenfumage statique hopitaux Beaujon - Bichat - Louis Mourier - Bretonneau et EHPAD Aelaide Hautval;non;directive24;joue;appeloffre;initial;non;2019-09-18
373;19-141687;75019;Paris;ANGDM;['Prestations de services'];PRESTATION D'ACCOMPAGNEMENT DE BENEFICIAIRES AUX SEJOURS VACANCES SPECIFIQUES 2020 POUR LA REGION GRAND SUD: - REPIT AUX AIDANTS;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
374;19-141686;75195;Paris Cedex 4;Préfecture de Police de Paris;['Gros oeuvre', 'Remembrement (travaux connexes)'];travaux de relogement de la police aux frontières dans les locaux du musée de l'air et de l'espace au bourget (93);non;cmp2006;fns;attribution;initial;non;2019-09-18
375;19-130066;75195;Paris;Préfecture de Police de Paris;['Curage', 'Amiante (désamiantage)'];opération de travaux de désamiantage, déplombage et curage dans des locaux situés à paris 75001 du 2ème au 5ème étage représentant une surface de plancher de 4000m² environ;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
376;19-140944;75195;Paris cedex 04;Préfecture de police DFCPP BCP;['Matériel électrique'];Fourniture de moyens d'éclairages portatifs pour le SGAMI de la zone de défense et de sécurité de Paris;oui;directive24;joue;appeloffre;initial;non;2019-09-18
377;19-142018;75379;Paris cedex 08;Commission de régulation de l'énergie;['Impression', 'Prestations de services'];Réalisation du rapport d'activité 2019 de la CRE (création, exécution, impression, façonnage, conditionnement, livraison et routage). Le rapport d'activité se déclinera sur 2 supports : un d;non;cmp2006;fns;appeloffre;rectificatif;oui;2019-09-18
378;19-140730;75403;Paris;CIPAV;['Prestations de services'];Missions de service social pour les adhérents de la Cipav;non;directive24;joue;appeloffre;initial;non;2019-09-18
379;19-142040;75571;Paris cedex 12;CELLULE-MARCHES-HUEP;['Amiante (désamiantage)'];TRAVAUX POUR LE REGROUPEMENT DE L'ENSEMBLE DES ACTIVITÉS DE BIOLOGIE DU GROUPE HOSPITALIER UNIVERSITAIRE DE L'EST PARISIEN SUR LE SITE DE SAINT ANTOINE - RELANCE LOT 02 : DESAMIANTAGE;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
380;19-140582;75578;Paris cedex 12;CNFPT;['Formation'];"Réalisation d'actions de formation sur le thème "" Prévention et opération d'incendie et de secours"" organisées pour le compte des délégations Première et Grande couronne Ile-de-France du CNF";non;directive24;joue;appeloffre;initial;non;2019-09-18
381;19-140803;75685;Paris;INST NAL RECHERCHES ARCHEOLOGIQUES PRE;['Prestations de services'];Titres restaurant pour les agents de l'Inrap;non;directive24;joue;appeloffre;initial;non;2019-09-18
382;19-140805;75685;Paris;INST NAL RECHERCHES ARCHEOLOGIQUES PRE;['Location (matériels)'];Services de prestations, de locations, de livraisons et d'entretiens de matériels techniques utiles à une fouille archéologique et d'emports de terre, en espace confiné et souterrain;non;directive24;joue;appeloffre;initial;non;2019-09-18
383;19-140804;75685;Paris;INST NAL RECHERCHES ARCHEOLOGIQUES PRE;['Prestations de services'];Acquisition de chèques cadeaux et/ou de chèques culture pour les agents de l'Inrap;non;directive24;joue;appeloffre;initial;non;2019-09-18
384;19-142024;75700;Paris cedex 07;Office National des Anciens Combattant;['Matériel de sécurité'];La présente consultation a pour objet la mise à niveau de la sûreté du site de l'ONACVG à Casablanca;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
385;19-141740;75700;Paris 07 sp;Institution Nationale des Invalides;['Maçonnerie', 'Menuiserie', 'Plâtrerie'];Travaux de renforcement de la sécurité contre l'incendie et création de trappes d'accès aux combles;non;cmp2006;fns;appeloffre;initial;oui;2019-09-18
386;19-140448;75714;Paris Cedex 15;CANSSM;['Abris', 'Alimentation en eau potable'];Location et entretien des fontaines à eau en réseau sécurisé, en réseau non sécurisé, en bonbonnes et fourniture de consommables pour l'ensemble des sites de filieris;non;directive24;joue;appeloffre;initial;oui;2019-09-18
387;19-140490;75951;Paris cedex 19;CNAVTS de Paris;['Boisson', 'Location (matériels)', 'Maintenance'];location de fontaines d'eau à bonbonnes;oui;cmp2006;fns;attribution;initial;oui;2019-09-18
388;19-140552;75986;Paris cedex 20;CNAMTS;['Abonnement'];Accord-cadre pour la gestion des abonnements à des publications françaises et étrangères pour le compte de la Cnam;non;directive24;joue;appeloffre;initial;non;2019-09-18
389;19-140655;76017;ROUEN;CAF SEINE-MARITIME;['Nettoyage de locaux', 'Prestations de services'];Exécution des prestations de nettoyage des locaux et de la vitrerie des immeubles de la Caisse d'allocations familiales de la Seine Maritime;non;directive24;joue;appeloffre;initial;oui;2019-09-18
390;19-140779;76067;Le havre cedex;CCIT SEINE ESTUAIRE;['Textile'];FOURNITURE DE VETEMENTS DE TRAVAIL ET DE SECURITE;non;directive24;joue;appeloffre;initial;non;2019-09-18
391;19-140249;76085;Le Havre;CU AGL HAVRAISE CANT CRIQUETOT ESNEVAL;"[""Travaux dans l'eau""]";Fourniture de réactifs pour les usines d'eau potable de la Communauté Urbaine Le Havre Seine Métropole;non;directive25;joue;appeloffre;initial;oui;2019-09-18
392;19-140600;76100;Rouen;Union sociale pour l'habitat de HN;['Prestations de services'];Réalisation d'une enquête de satisfaction sur la perception de la qualité du service rendu dans l'habitat social en Normandie.;non;directive24;joue;appeloffre;initial;non;2019-09-18
393;19-141704;76101;ROUEN CEDEX;Département de Seine Maritime;['Mobilier'];Conception sur mesure, fabrication et livraison de vitrines ainsi que des prestations associées(dispositifs d'éclairage)pour la Maison Vacquerie - Musée Victor Hugo Rives en Seine;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
394;19-141818;76170;Lillebonne;Communauté d'Agglomération Caux vallée;['Equipements spécialisés', 'Véhicules (acquisition)'];Acquisition d'un tracteur compact, d'un broyeur multi-végétaux et d'un broyeur polyvalent;non;cmp2006;fns;attribution;initial;non;2019-09-18
395;19-141805;76630;ENVERMEU;CCMV;['Déchetterie (travaux)'];Marché de maîtrise d'oeuvre relatif à la requalification et l'extension de la déchetterie de Petit-Caux (Saint-Martin-en-Campagne);non;cmp2006;fns;appeloffre;initial;non;2019-09-18
396;19-138136;76730;BACQUEVILLE EN CAUX;TERROIR DE CAUX;"['Etude', ""Maîtrise d'oeuvre"", 'Ingénierie']";maîtrise d'oeuvre réaménagement et extension de la piscine de val-de-saâne;non;directive24;joue;appeloffre;initial;non;2019-09-18
397;19-141736;76770;LE Houlme;MAIRIE DU HOULME;"['Chauffage (travaux)', 'Cloison, faux plafond', 'Electricité (travaux)', 'Peinture (travaux)', 'Plomberie (travaux)', 'Revêtements de sols', ""Tous corps d'état"", 'Ventilation']";réhabilitation de l'ancienne école prévert - partie étage - en renforcement des services de proximité - création de cabinets médicaux;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
398;19-140204;77010;Melun;Département de Seine-et-Marne;['Abris', 'Extincteur'];Fourniture, pose et renouvellement d'extincteurs et divers matériels de sécurité incendie dans les collèges et les bâtiments départementaux, entretien des RIA, colonnes sèches et extincteurs;non;directive24;joue;attribution;initial;non;2019-09-18
399;19-142115;77100;Nanteuil les meaux;mairie de nanteuil les meaux;['Réseaux divers'];Les travaux, objet du présent marché, concernent le renforcement du réseau d alimentation en eau potable de la rue Georges Dagron sur la commune de Nanteuil-lès-Meaux.Les prestations du présent m..;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
400;19-142031;77100;Nanteuil les meaux;mairie de nanteuil les meaux;['Assainissement'];Les travaux, objet du présent marché, concernent la création d un réseau d assainissement d eau usée dans la rue Fortuna Régnier sur la commune de Nanteuil-lès-Meaux.Les prestations du présent ma..;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
401;19-140888;77177;Brou Sur Chantereine;COMMUNE DE BROU SUR CHANTEREINE;['Assurance'];Souscription des contrats d'assurances pour LA COMMUNE DE BROU SUR CHANTEREINE;non;directive24;joue;appeloffre;initial;non;2019-09-18
402;19-139811;77186;Noisiel;Ville de Noisiel;['Transport'];prestations de transport en autocar avec chauffeur;non;directive24;joue;appeloffre;initial;oui;2019-09-18
403;19-140186;77330;Ozoir-la-ferrière;Cté Cnes LES PORTES BRIARDES;['Assurance'];marché souscription de polices d'assurance dommages ouvrages pour la construction d'un dojo intercommunal à ozoir la ferrière;non;directive24;joue;appeloffre;initial;non;2019-09-18
404;19-140481;77444;Marne-la-vallée cedex 2;Union des Groupements d'Achats Publics;['Matériel électrique'];Fourniture d'appareils électroménagers et de traitement de l'air avec exécution de prestations annexes;non;directive24;joue;attribution;initial;non;2019-09-18
405;19-142111;77760;Buthiers;Syndicat Mixte Eaux Région Buthiers;['Réservoir'];Réhabilitation d'un château d'eau;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
406;19-141778;78012;VERSAILLES;Conseil départemental des Yvelines;"[""Maîtrise d'oeuvre""]";TRAPPES - Maîtrise d'oeuvre pour l'opération de création de la Maison Départementale du Territoire de SAINT-QUENTIN-EN-YVELINES;non;cmp2006;fns;attribution;initial;non;2019-09-18
407;19-141823;78012;Versailles;Conseil départemental des Yvelines;['Ingénierie'];LES MUREAUX - Site de Becheville - Mission de Maîtrise d'oeuvre relative à la remise à niveau des voiries et réseaux divers pour améliorer la desserte de la future plateforme interdépartementale;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
408;19-142038;78102;Saint germain en laye cedex;ESID IDF;['Sécurité incendie'];Le présent marché concerne l'exécution à prix global et forfaitaire des travaux de mise aux normes incendie du bâtiment ESRTA B27 (G2D : 0023) de la base aérienne 107 de Villacoublay (78).Le pr;non;cmp2006;fns;appeloffre;annulation;oui;2019-09-18
409;19-140489;78102;Saint-germain-en-laye cedex;MINDEF/EMA/SCA/PFAF-IDF;['Matériel photographique et cinématographique'];Acquisition de matériel audiovisuel au profit du ministère des Armées;non;directive24;joue;appeloffre;initial;oui;2019-09-18
410;19-141738;78102;Saint germain en laye cedex;ESID IDF;['Sécurité incendie'];Le présent marché concerne l'exécution à prix global et forfaitaire des travaux de mise aux normes incendie du bâtiment ESRTA B27 (G2D : 0023) de la base aérienne 107 de Villacoublay (78).Le pr;non;cmp2006;fns;appeloffre;initial;oui;2019-09-18
411;19-140510;78102;Saint germain en laye cedex;ESID IDF;['Sécurité incendie'];Paris (75) - hotel national des invalides - maintenance préventive et corrective dans le domaine technique des systèmes de sécurité incendie;non;directive24;joue;attribution;initial;non;2019-09-18
412;19-141774;78120;Rambouillet;Lycée Louis Bascan;['Electricité (travaux)', 'Menuiserie'];Remplacement des menuiseries extérieures du bâtiment i du Lycée Louis Bascan;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
413;19-141697;78140;Vélizy-villacoublay;COMMUNE DE VELIZY VILLACOUBLAY;['Informatique (prestations de services)', 'Logiciel'];Fourniture, Hébergement et Maintenance d'une Solution d'Archivage Electronique (SAE);non;cmp2006;fns;appeloffre;initial;non;2019-09-18
414;19-141815;78160;Marly le roi;COMMUNE DE MARLY LE ROI;['Espaces verts'];La ville de Marly-le-Roi souhaite faire la réfection d'une aire de jeux située dans la ville de Marly le Roi au niveau de l'avenue de Saint-Germain dans le Parc Witold. Cette aire de jeux es;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
415;19-142073;78200;Mantes la jolie;Commune de Mantes la Jolie;['Prestations de services'];Location et exploitation d'une patinoire mobile en synthétique pour la Ville de la Mantes-la-Jolie;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
416;19-141812;78200;Mantes la jolie;Commune de Mantes la Jolie;['Equipements spécialisés'];Installation et mise en place d'un système de péage pour le stationnement au Parking Z1 Centre Commercial Mantes 2;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
417;19-140338;78260;Acheres;COMMUNE D ACHERES;['Gardiennage', 'Surveillance'];Services de surveillance et de gardiennage pour la Ville et le Ccas d'Achères;non;directive24;joue;attribution;initial;non;2019-09-18
418;19-141848;78472;Chevreuse cedex;SYND MIXTE REALI GEST PARC VALLEE;"[""Assistance à maîtrise d'ouvrage""]";Le marché de service relatif à une mission de maîtrise d'oeuvre pour les travaux de restauration de la continuité écologique de la Mérantaise à Châteaufort;non;cmp2006;mapa;appeloffre;rectificatif;non;2019-09-18
419;19-140579;78513;Rambouillet cedex;ARM/SCA/PFAF-RBT;['Denrées alimentaires'];FOURNITURE DE RATIONS CONDITIONNÉES;non;directive81;joue;attribution;initial;non;2019-09-18
420;19-142197;78960;Voisins le bretonneux;Commune de Voisins le Bretonneux;"[""Maîtrise d'oeuvre""]";Maîtrise d'oeuvre pour la réhabilitation de la Cour Decauville;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
421;19-140517;79205;Parthenay cedex;Communauté Communes Parthenay-Gâtine;['Reprographie'];Location et maintenance de matériels et logiciels d'impression;non;directive24;joue;appeloffre;initial;non;2019-09-18
422;19-140479;80026;Amiens;Conseil Départemental de la Somme;"[""Maîtrise d'oeuvre""]";Mission de maîtrise d'oeuvre relative au dragage, à la gestion et à la valorisation des sédiments du bassin des chasses du Crotoy.;non;directive24;joue;attribution;initial;non;2019-09-18
423;19-141820;80026;Amiens;Conseil Départemental de la Somme;['Bâtiment'];Travaux de restructuration du CDER d'Abbeville.;oui;cmp2006;fns;appeloffre;initial;oui;2019-09-18
424;19-140925;80290;Poix de picardie;CC SOMME SUD OUEST;['Prestations de services', 'Repas, traiteur'];Fourniture de repas en liaison froide pour les service d'aide à la personne;non;directive24;joue;attribution;initial;non;2019-09-18
425;19-140330;81013;Albi;Département du Tarn;['Etude'];Mission d'animation, de repérage, de diagnostics et de suivi d'un programme d'intérêt général départemental en faveur de l'amélioration de l'habitat;non;directive24;joue;appeloffre;initial;non;2019-09-18
426;19-141655;82013;MONTAUBAN CEDEX;Ville de Montauban;['Matériel scénique'];LOCATION DE MATERIEL SCENIQUE AVEC PRESTATIONS;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
427;19-142168;82130;LAFRANCAISE;SIEEOM du Sud Quercy;['Carburant, hydrocarbure'];FOURNITURE DE CARBURANT GAZOLE;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
428;19-140160;83041;Toulon;Métropole Toulon Provence Méditerranée;['Amiante'];19serv09 - Accord-cadre à bons de commande de diagnostics amiante et Hap, plomb, termites, insectes xylophages pour voiries et bâtiments existants et futurs de Métropole Toulon Pro;non;autre;joue;rectificatif;rectificatif;non;2019-09-18
429;19-140878;83056;Toulon;COMMUNE DE TOULON;['Mécanique', 'Pièces détachées', 'Prestations de services'];Appel d'offres en vue des prestations d'entretien, de réparations et de dépannage de véhicules d'un Ptac inférieur ou égal à 3,5t hors 2 roues de marques exclusives Renault/Dacia;non;directive24;joue;attribution;initial;non;2019-09-18
430;19-142177;83056;Toulon;COMMUNE DE TOULON;['Jeux, jouets'];Fourniture de jeux, tapis et modules de motricité destinés à des enfants âgés de 3 mois à 3 ans accueillis dans les établissements Petite Enfance de la Ville de Toulon (83, VAR), en 2 lots;non;cmp2006;mapa;attribution;initial;non;2019-09-18
431;19-140768;83056;Toulon;COMMUNE DE TOULON;['Abonnement', 'Informatique (prestations de services)', 'Formation'];Prestations de mise à disposition de ressources numériques pour les bibliothèques et médiathèques de la ville de Toulon;non;directive24;joue;appeloffre;initial;non;2019-09-18
432;19-140689;83170;Brignoles;CA Provence Verte;['Curage', 'Nettoyage urbain', 'Voirie'];Accord cadre à bons de commandes de services de propreté de la voirie communautaire, des fossés et zones d'activités de la Communauté d'Agglomération de la Provence Verte;non;directive24;joue;attribution;initial;non;2019-09-18
433;19-141980;83192;Ollioules;Conseil général du Var;['Prestations de services'];Évaluation, préconisation et constitution du dossier visant à la mise en oeuve de la prestation de compensation du handicap;non;cmp2006;fns;attribution;initial;non;2019-09-18
434;19-141024;83300;Draguignan;Ville de Draguignan (83);['Assurance'];PRESTATIONS D'ASSURANCES;oui;directive24;joue;appeloffre;initial;non;2019-09-18
435;19-141826;83340;Le Cannet des Maures;SIAE DE LA SOURCE D'ENTRAIGUES;"['Alimentation en eau potable', 'Captage', 'Etude', ""Maîtrise d'oeuvre""]";2019-03 - Mission de maîtrise d'oeuvre relative à la prospection par forages d'une nouvelle ressource en eau souterraine;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
436;19-140197;83608;Fréjus Cedex;Ville de Fréjus;['Etude'];Mission de maîtrise d'oeuvre pour le réaménagement du quartier de Caïs - secteur Malbousquet;non;directive24;joue;appeloffre;initial;non;2019-09-18
437;19-142123;83700;Saint-Raphaël;Commune de Saint-Raphaël;['Sanitaire'];FOURNITURE ET ENTRETIEN D'ÉQUIPEMENTS DES SANITAIRES DANS LES BATIMENTS COMMUNAUX ET LE CCAS;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
438;19-140905;83800;Toulon cedex 9;MINDEF/SGA/DCSID/ESID.TOULON;['Maintenance'];Ce contrat est un accord-cadre mono-attributaire à bons de commande passé selon la procédure d'appel d'offres restreint en application des articles 21, 61 à 63, 70 et 72 du décret no 2016-36;non;directive81;joue;attribution;initial;oui;2019-09-18
439;19-138185;84045;Avignon cedex 09;Ville d'Avignon;"[""Maîtrise d'oeuvre""]";maîtrise d'oeuvre pour la mise en accessibilité des établissements recevant du public de la ville d'avignon - phase 2 de l'adap (travaux sur la période 2019-2021);non;directive24;joue;attribution;initial;non;2019-09-18
440;19-138532;84045;Avignon cedex 09;Ville d'Avignon;['Pièces détachées'];fourniture de pièces détachées, prestations de réparation et services associés pour véhicules particuliers et utilitaires 2018-2021 - relance du lot 1 et du lot 9;non;directive24;joue;attribution;initial;oui;2019-09-18
441;19-128278;84045;Avignon cedex 09;Ville d'Avignon;['Gardiennage', 'Nettoyage de locaux'];entretien ménager et gardiennage des toilettes publiques de la ville 2020-2023;oui;directive24;joue;appeloffre;initial;oui;2019-09-18
442;19-140705;84909;Avignon Cedex 9;Département de Vaucluse;['Alarme', 'Télésurveillance'];Maintenance des installations de sécurité anti intrusion, télésurveillance, intervention et sécurisation des bâtiments du Département de Vaucluse;non;directive24;joue;appeloffre;initial;non;2019-09-18
443;19-140244;85300;CHALLANS;CC CHALLANS GOIS COMMUNAUTE;['Bâtiment', 'Gros oeuvre', 'Piscine'];Travaux de construction d'un centre aquatique à challans (85) - lot 2 -gros-oeuvre;non;directive24;joue;appeloffre;initial;non;2019-09-18
444;19-141151;85400;LUÇON;CC Sud Vendée Littoral;['Denrées alimentaires'];"Elaboration des menus et fourniture des matières premières pour la préparation des repas pour le service commun "" Cuisine Centrale "" de la Communauté de Communes Sud Vendée Littoral";non;directive24;joue;attribution;initial;non;2019-09-18
445;19-140713;85710;La Garnache;CCAS de la Garnache;"[""Maîtrise d'oeuvre""]";Marché de Maîtrise d'Oeuvre pour la Réhabilitation / Extension de l'EHPAD 'Résidence l'Equaizière' et création d'une résidence autonomie.;non;directive25;joue;appeloffre;initial;non;2019-09-18
446;19-140246;85923;La Roche sur Yon;Conseil général de la Vendée;['Prestations de services', 'Sondage, enquête'];Réalisation d'une enquête mobilité Emc² certifiée Cerema sur le territoire du Département de la Vendée;non;directive24;joue;appeloffre;initial;non;2019-09-18
447;19-140449;86000;Poitiers;Eaux de Vienne - Siveer;['Véhicules (acquisition)'];Marchés relatifs à la fourniture de 2 camions, affectés aux centres d'exploitation de Lussac les Châteaux et La Villedieu du Clain, avec reprise de matériels d'occasion;non;directive24;joue;attribution;initial;non;2019-09-18
448;19-140686;87000;LIMOGES;Limoges Habitat;['Prestations de services'];PRESTATIONS D'HUISSIERS DE JUSTICE ET DE RECOUVREMENT;non;directive24;joue;appeloffre;initial;non;2019-09-18
449;19-141972;87031;LIMOGES CEDEX 1;COMMUNE DE LIMOGES;['Démolition'];Extension du gymnase de Landouge;non;cmp2006;fns;attribution;initial;non;2019-09-18
450;19-142132;87031;LIMOGES CEDEX 1;CENTRE COMMUNAL D ACTION SOCIALE;['Repas, traiteur'];Fourniture (fabrication, le conditionnement et la livraison) de repas multi-portions pour les 3 Résidences Autonomie Municipales (R.A.M.) gérées par le Centre communal d'action sociale (C.C.A.S.);non;cmp2006;fns;attribution;initial;non;2019-09-18
