a00_cle_idweb,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,g04_01_date_publication,g04_02_date_limite_reponse,g04_03_date_fin_diffusion,g04_04_classes,g04_07_dep_publication,g04_08_dep_prestation,g04_09_resume_objet,d01_01_denomination,d01_02_code_ident_national,d01_03_correspondant,d01_04_contact,d01_05_adjudicateur_nuts,d01_06_adresse,d01_07_cp,d01_08_ville,d01_09_pays,d01_10_tel,d01_11_poste,d01_12_fax,d01_13_mel,d01_14_url,d01_15_url_profil_acheteur,d01_16_url_information,d01_17_url_participation,d01_18_url_document,d01_19_url_outil_logiciel,d01_20_agit_pour_autre_compte_oui,d01_21_agit_pour_autre_compte_non,d01_22_loi_compte_autre_pays,d01_23_organisme_acheteur_central_oui,d01_24_organisme_acheteur_central_non,d05_03_type_marche,g04_051_descripteurs_codes,g04_052_descripteurs_libelles,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
19-133520,fns,cmp2006,appeloffre,initial,2019-09-03,1569409200000.0,2019-09-25,,"['59', '62']",,fourniture et pose de menuiseries et équipements sanitaires,Foyer Personnes Agees LES BLES D'OR,,BARRET Philippe,,,6 avenue Albert Bernard,59211,Santes,,03-20-38-84-82,,,marchespublics@santes.fr,,http://marchespublics596280.fr,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[222, 319]","['Menuiserie', 'Sanitaire']",non,non
19-133129,mapa,cmp2006,appeloffre,initial,2019-09-03,1570186800000.0,2019-10-03,,['59'],,Classe transplantée et séjour culturel,mairie de loon plage,, Pascal MILLOT,,,27 place de la République,59279,Loon-Plage,,(+33) 3-28-58-03-34,,,p.milliot@loonplage.org,,https://www.marches-securises.fr,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[367],['Voyage'],non,non
19-133367,fns,cmp2006,appeloffre,initial,2019-09-03,1569322800000.0,2019-10-03,,['59'],,Aménagement de l'accueil et de bureaux pour l'état civil à la Mairie de quartier de Petite Synthe,Ville de Dunkerque,, Direction de la Commande Publique,,,Place Charles ValentinBP 6537,59386,Dunkerque,,(+33) 3-28-26-28-72,,(+33) 3-28-26-24-20,marches.publics@ville-dunkerque.fr,http://www.ville-dunkerque.fr,https://www.marches-securises.fr,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<CONCEPT_REALISATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'executionouvrage': None}, 'fournitures': None, 'service': None}","[105, 144, 222, 263, 269, 270, 308, 309, 360]","['Electricité (travaux)', 'Gros oeuvre', 'Menuiserie', 'Peinture (fourniture)', 'Plâtrerie', 'Plomberie (travaux)', 'Revêtements de sols', 'Revêtements muraux', 'Ventilation']",non,non
19-133171,mapa,cmp2006,appeloffre,initial,2019-09-03,1570186800000.0,2019-10-05,,['59'],,Numérisation d'actes d'état civil,Ville d'Armentières,,"M. DELCROIX Lionel, Mairie d'Armentières",,,Place du Général de Gaulle - Bp 20119,59427,Armentières cedex,,03-61-76-21-40,,,marchespublics@ville-armentieres.fr,http://www.armentieres.fr,,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[19],['Assistance technique'],non,non
19-133290,mapa,cmp2006,appeloffre,initial,2019-09-03,1571137200000.0,2019-10-15,,['60'],,Contrats d'assurance pour la ville de Méru,Ville de Méru,, Lejeune Gwénaëlle,,,Place de l'Hôtel de Ville - BP 129,60111,Méru Cedex,,03-44-52-36-41,,03-44-52-36-41,glejeune@ville-meru.fr,http://ville-meru.e-marchespublics.com,http://ville-meru.e-marchespublics.com,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[20],['Assurance'],non,non
19-133590,mapa,cmp2006,appeloffre,initial,2019-09-03,1569423600000.0,2019-09-25,,['61'],,"Numéro de la consultation : 1_2019058 Ateliers municipaux : réaménagement de la zone sanitaires / douches et création d'un réfectoire-reconsultation des lots 1, 7 et 08",Ville d'Alençon,," DARCISSAC Emmanuel, Maire",,,Place Foch - CS 50362,61014,Alençon,,02-33-32-40-78,,,scp@ville-alencon.fr,http://www.alencon.fr/,http://agysoft.marches-publics.info,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[61, 169, 222, 264, 270]","['Chauffage (travaux)', 'Isolation', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)']",non,non
19-133548,mapa,cmp2006,attribution,initial,2019-09-03,,2019-10-04,,['61'],,Maintenance des ascenseurs des bâtiments administratifs du Conseil départemental de l'Orne,Conseil départemental de l'Orne,,"M. de Balorre Christophe, Président",,,"Hôtel du département, 27 boulevard de Strasbourg, CS 30528",61017,Alençon cedex,,02-33-81-61-82,,,bati.gestion@orne.fr,https://orne.achatpublic.com,,,,,,,,,,,,[17],['Ascenseur'],non,non
19-133496,fns,cmp2006,appeloffre,initial,2019-09-03,1569596400000.0,2019-09-27,,['62'],,MPA3 LVMT 19S0487 Travaux de plantations et engazonnement sur diverses RD du Territoire du Pas-de-Calais - 5 lots - 'Marché réservé',Conseil départemental du Pas-de-Calais,, M. le Président du Conseil départemental,,,Hôtel du Département Rue Ferdinand Buisson,62018,ARRAS CEDEX 9,,(+33) 3-21-21-67-30,,,dcp.secretariat@pasdecalais.fr,https://marchespublics596280.fr,,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[116, 365]","['Espaces verts', 'Voirie']",non,non
19-133090,fns,cmp2006,attribution,initial,2019-09-03,,2019-10-03,,['62'],,Travaux d'électricité et de faux-plafonds sur différents sites de l'Université.,Université d'Artois,,"Mme COILLIOT Sylvie, Université d'Artois",,,9 rue du temple BP 10665,62030,Arras cedex,,03-21-60-37-89,,,sylvie.coilliot@univ-artois.fr,http://univ-artois.fr,https://www.marches-publics.gouv.fr,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[105],['Electricité (travaux)'],non,oui
19-133093,fns,cmp2006,attribution,initial,2019-09-03,,2019-10-03,,['62'],,Travaux de réaménagement du bâtiment G du site d'Arras.,Université d'Artois,,"Mme COILLIOT Sylvie, Université d'Artois",,,9 rue du temple BP 10665,62030,Arras cedex,,03-21-60-37-89,,03-21-60-49-36,sylvie.coilliot@univ-artois.fr,http://univ-artois.fr,https://www.marches-publics.gouv.fr,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[63, 105, 222, 270, 308]","['Cloison, faux plafond', 'Electricité (travaux)', 'Menuiserie', 'Plomberie (travaux)', 'Revêtements de sols']",non,oui
19-133214,fns,cmp2006,appeloffre,initial,2019-09-03,1571137200000.0,2019-10-15,,['62'],,"Marché public global de performance énergétique associant la modernisation, la rénovation, l'exploitation, la maintenance et la gestion des installations d'éclairage public et des installati",COMMUNE DE HARNES,," DUQUESNOY Philippe, Maire",,,"35, rue des Fusillés, CS 20112 Harnes",62212,Carvin,,03-21-79-42-79,,03-21-20-98-48,marchespublics@ville-harnes.fr,https://www.ville-harnes.fr/site/,,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[102],['Eclairage public'],non,non
19-133151,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['62'],,Fourniture de matériel électrique pour les besoins des ateliers des services techniques municipaux de la Ville de Béthune,Mairie de Béthune,," GACQUERRE Olivier, Maire",,,6 Place du 4 septembre 1944 BP 10711,62407,BETHUNE,,,,,correspondre@aws-france.com,https://www.ville-bethune.fr,http://agysoft.marches-publics.info/,,,,,,,,,,,[203],['Matériel électrique'],non,non
19-133228,fns,cmp2006,appeloffre,initial,2019-09-03,1569841200000.0,2019-09-30,,['62'],,Marché de maitrise d'oeuvre concernant la requalification de l'impasse Toupy à Bruay-la-Buissière,CA DE BETHUNE BRUAY ARTOIS LYS ROMANE,,"M. WACHEUX Alain, Président",,,"100, avenue de Londres CS 40548",62411,BETHUNE,,,,,contact@bethunebruay.fr,http://www.bethunebruay.fr,https://marchespublics596280.fr/?page=entreprise.EntrepriseHome,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}","[197, 455]","[""Maîtrise d'oeuvre"", 'Ingénierie']",non,non
19-132457,joue,directive24,appeloffre,initial,2019-09-03,,2019-10-02,,['62'],,entretien des espaces verts du stade couvert de liévin,SYNDICAT MIXTE ARENA STADE COUVERT,,,,FRE,Chemin des Manufactures,62800,Liévin,,(+33) 3-21-44-02-44,,(+33) 3-21-44-85-73,jmpetipre@arena-lievin.fr,http://www.e-marchespublics.fr,http://www.e-marchespublics.fr,,http://www.e-marchespublics.fr,http://www.e-marchespublics.fr,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<AGIT_POUR_AUTRE_COMPTE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<ORGANISME_ACHETEUR_CENTRAL_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>","{'travaux': None, 'fournitures': None, 'service': ''}",[116],['Espaces verts'],oui,non
19-133422,fns,cmp2006,appeloffre,initial,2019-09-03,1570118400000.0,2019-10-03,,['62'],,"Numéro de la consultation : 2019-034 MARCHE DE VERIFICATION, D'ENTRETIEN ET DE MAINTENANCE DES SYSTEMES DE SECURITE INCENDIE ET DE LEURS ASSERVISSEMENTS EQUIPANT LES BATIMENTS COMMUNAUTAIRES DE L",CA DU PAYS DE SAINT OMER,," DECOSTER FRANCOIS, PRESIDENT",,,"2 RUE ALBERT CAMUS, CS 20079",62968,LONGUENESSE,,03-74-18-20-00,,,correspondre@aws-france.com,https://www.ca-pso.fr/,https://www.agysoft.marches-publics.info,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}","[196, 332]","['Maintenance', 'Sécurité incendie']",non,non
19-133336,mapa,cmp2006,appeloffre,initial,2019-09-03,1570201200000.0,2019-10-04,,['63'],,MAINTENANCE DES CLOCHES ET DES HORLOGES,Ville de Clermont-Ferrand,, Le Maire,,,"Service de la Commande Publique, 64-66 avenue de l'Union Soviétique BP 231",63007,CLERMONT-FERRAND,,,,,pole-travaux-services@clermontmetropole.eu,http://www.clermont-ferrand.fr/,https://clermont-ferrand.fr/marches-publics,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}","[80, 203]","['Clocher', 'Matériel électrique']",non,non
19-133591,mapa,cmp2006,appeloffre,initial,2019-09-03,1569495600000.0,2019-09-26,,['63'],,STOCKAGE ET CONSERVATION DE LA COLLECTION D'EX-VOTO GALLO-ROMAINS ISSUS DE LA SOURCE DES ROCHES DU MUSÉE BARGOIN,Clermont Auvergne Métropole,, Le Président,,,64 66 Avenue de l'Union Soviétique BP 231,63007,CLERMONT-FERRAND,,04-73-98-34-00,,04-73-98-34-01,correspondre@aws-france.com,http://www.clermontmetropole.eu,http://www.clermontmetropole.eu,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[247],"[""Oeuvre d'art""]",non,non
19-132947,fns,cmp2006,appeloffre,initial,2019-09-03,1569841200000.0,2019-09-30,,['15'],,désamiantage et démolition de batiments,INRA de Clermont Theix,,Amandine Combre,,,Site de Theix,63122,Saint Genes Champannelle,,,,,amandine.combre@inra.fr,http://www.inra.fr,,,,,,,,,,,,"[87, 479]","['Démolition', 'Amiante (désamiantage)']",non,non
19-133451,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['64'],,Réalisation du transfert des eaux usées de Gan vers Jurançon et renforcement du réseau d'eau potable du SMEP de la région de Jurançon,CA PAU BEARN PYRENEES,," BAYROU FRANCOIS, PRESIDENT",,,"HOTEL DE FRANCE, 2B PLACE ROYALE, CS90547",64000,PAU CEDEX,,05-47-05-30-31,,,correspondre@aws-france.com,https://www.agglo-pau.fr,http://www.agglo-pau.fr/marches-publics.html,,,,,,,,,,,[18],['Assainissement'],oui,oui
19-133446,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['64'],,Commune de Pau - Rue des Frères Wright - Rue Gaston Lamaignère - Remplacement des collecteurs d'égout et construction de collecteurs d'eaux pluviales,CA PAU BEARN PYRENEES,," BAYROU FRANCOIS, PRESIDENT",,,"HOTEL DE FRANCE, 2B PLACE ROYALE, CS90547",64000,PAU CEDEX,,05-47-05-30-31,,,correspondre@aws-france.com,https://www.agglo-pau.fr,http://www.agglo-pau.fr/marches-publics.html,,,,,,,,,,,[18],['Assainissement'],oui,oui
19-133429,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['64'],,Travaux et études pour l'aménagement du réseau fibre optique,CA PAU BEARN PYRENEES,," BAYROU FRANCOIS, PRESIDENT",,,"HOTEL DE FRANCE, 2B PLACE ROYALE, CS90547",64000,PAU CEDEX,,05-47-05-30-31,,,correspondre@aws-france.com,https://www.agglo-pau.fr,http://www.agglo-pau.fr/marches-publics.html,,,,,,,,,,,[133],['Fibre optique'],oui,oui
19-133428,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['64'],,Système d'assainissement Idron - Commune d'Ousse - Renforcement du réseau d'assainissement - Avenue des Moulins - Programme 2019,CA PAU BEARN PYRENEES,," BAYROU FRANCOIS, PRESIDENT",,,"HOTEL DE FRANCE, 2B PLACE ROYALE, CS90547",64000,PAU CEDEX,,05-47-05-30-31,,,correspondre@aws-france.com,https://www.agglo-pau.fr,http://www.agglo-pau.fr/marches-publics.html,,,,,,,,,,,[18],['Assainissement'],oui,oui
19-133425,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['64'],,Plate-forme de collecte d'interfaçage et de monitoring. Développement d'une brique territoriale au système d'information décisionnel de l'Agglomération,CA PAU BEARN PYRENEES,," BAYROU FRANCOIS, PRESIDENT",,,"HOTEL DE FRANCE, 2B PLACE ROYALE, CS90547",64000,PAU CEDEX,,05-47-05-30-31,,,correspondre@aws-france.com,https://www.agglo-pau.fr,http://www.agglo-pau.fr/marches-publics.html,,,,,,,,,,,[186],['Logiciel'],non,non
19-133220,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['64'],,Etude pour la gestion intégrée des cours d'eau et zones humides du bassin versant de l'Ousse des bois,CA PAU BEARN PYRENEES,," BAYROU FRANCOIS, PRESIDENT",,,"HOTEL DE FRANCE, 2B PLACE ROYALE, CS90547",64000,PAU CEDEX,,05-47-05-30-31,,,correspondre@aws-france.com,https://www.agglo-pau.fr,http://www.agglo-pau.fr/marches-publics.html,,,,,,,,,,,[118],['Etude'],non,non
19-132881,mapa,cmp2006,appeloffre,initial,2019-09-03,1569945600000.0,2019-10-01,,['64'],,concession portant occupation temporaire du domaine public non constitutive de droits réels pour l'exploitation de distributeurs automatiques,CCI Pau Béarn,,"M. Laporte Didier, Président",,,21 rue Louis Barthou,64000,Pau,,(+33)5-59-82-51-19,,,marches@pau.cci.fr,https://www.pau.cci.fr/,https://www.marches-publics.gouv.fr/,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}","[39, 88, 402]","['Boisson', 'Denrées alimentaires', 'Automate']",non,non
19-133430,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['64'],,Transformation de la Station de Traitement des Eaux Usées de Gan en poste de transfert et bassin d'orage,CA PAU BEARN PYRENEES,," BAYROU FRANCOIS, PRESIDENT",,,"HOTEL DE FRANCE, 2B PLACE ROYALE, CS90547",64000,PAU CEDEX,,05-47-05-30-31,,,correspondre@aws-france.com,https://www.agglo-pau.fr,http://www.agglo-pau.fr/marches-publics.html,,,,,,,,,,,"[326, 328]","['Station de pompage', ""Station d'épuration (travaux)""]",non,non
19-133492,fns,cmp2006,appeloffre,initial,2019-09-03,1570201200000.0,2019-10-05,,['64'],,Aménagement du Parc Auto à l'Hôtel du Département à Pau - Lots 02 à 07,Conseil Gal des Pyrénées-Atlantiques,,"M. BOIZIER Philippe, Département des Pyrénées-Atlantiques",,,64 avenue Jean Biray,64058,Pau cedex 09,,05-59-11-42-59,,,,,http://www.eadministration64.fr,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[33],['Bâtiment'],non,oui
19-133077,fns,cmp2006,appeloffre,initial,2019-09-03,1570456800000.0,2019-10-07,,['64'],,Création d'aires de jeu,commune de Bayonne,,"M. ETCHEGARAY Jean-René, Maire",,,"Hôtel de Ville, service marchés publics, 1 avenue du Maréchal Leclerc",64100,Bayonne,,05-59-46-61-63,,05-59-59-30-91,marches@bayonne.fr,http://www.bayonne.fr,https://www.eadministration64.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=22891&orgAcronyme=i0r,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[400],['Aire de jeux'],non,non
19-133619,fns,cmp2006,appeloffre,initial,2019-09-03,1569405600000.0,2019-09-25,,['64'],,Travaux de voirie - Programme 2019Tranche ferme : Chemin du Vieux MoulinTranches optionnelles :. Tranche optionnelle A : chemin de Mesplet. Tranche optionnelle B : chemin de Mariet.Petit. Tran..,Ville de Gan,,"M. ORTIZ Véronique, Mairie de Gan",,,Place de la Mairie,64290,Gan,,05-59-21-61-31,,,,http://www.eadministration64.fr,,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[365],['Voirie'],non,non
19-133419,fns,cmp2006,appeloffre,initial,2019-09-03,1570096800000.0,2019-10-03,,['65'],,MARCHE DE TRAVAUX POUR LA CONSTRUCTION DE 4 LOGEMENTS A AZEREIX,OFFICE PUB DE L HABITAT HTES PYRENEES,," LAFONT-CASSIAT Jean-Pierre, Directeur Général",,,28 Rue des Haras,65000,TARBES,,05-62-44-41-41,,05-62-44-05-46,smarches@oph65.fr,http://www.oph65.fr/,https://www.marches-publics.info/,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[345],"[""Tous corps d'état""]",non,non
19-133528,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['65'],,EXTENSION DU BATIMENT D'EXPLOITATION A FERRIERES,DEPARTEMENT HAUTES-PYRENEES,," PÉLIEU Michel, Le President",,,"Hotel du département, 7 rue Gaston Manent, CS71324",65013,TARBES,,05-62-56-78-65,,,commandepublique@ha-py.fr,http://commandepublique.ha-py.fr/,http://commandepublique.ha-py.fr,,,,,,,,,,,"[57, 64, 105, 144, 321]","['Charpente', 'Clôture', 'Electricité (travaux)', 'Gros oeuvre', 'Serrurerie']",non,non
19-133155,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['65'],,TRAVAUX D'AMELIORAITON DU PONT SUR LE GERS - RD21 - PR45+960 - COMMUNE DE SARIAC MAGNOAC,DEPARTEMENT HAUTES-PYRENEES,," PÉLIEU Michel, Le President",,,"Hotel du département, 7 rue Gaston Manent, CS71324",65013,TARBES,,05-62-56-78-65,,,commandepublique@ha-py.fr,http://commandepublique.ha-py.fr/,http://commandepublique.ha-py.fr,,,,,,,,,,,[252],"[""Ouvrage d'art""]",non,non
19-133224,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['65'],,FOURNITURE DE GRANULATS POUR LA RÉALISATION D'ENDUITS SUPERFICIELS D'USURE POUR LES ROUTES DU DÉPARTEMENT DES HAUTES-PYRÉNÉES,DEPARTEMENT HAUTES-PYRENEES,," PÉLIEU Michel, Le President",,,"Hotel du département, 7 rue Gaston Manent, CS71324",65013,TARBES,,05-62-56-78-65,,,commandepublique@ha-py.fr,http://commandepublique.ha-py.fr/,http://commandepublique.ha-py.fr,,,,,,,,,,,[199],['Matériaux routiers'],non,non
19-132667,joue,directive24,appeloffre,initial,2019-09-03,,2019-09-29,,['65'],,Services d'assurances,COM D AGGL TARBES LOURDES PYRENEES,,,M. Le Président,FRJ26,Zone tertiaire Pyrène Aéro PôleTéléport 1 - CS 51331,65013,Tarbes cedex 9,,(+33) 5-62-53-34-97,,,marchespublics@agglo-tlp.fr,http://www.agglo-tlp.fr,https://www.marches-securises.fr,,https://www.marches-securises.fr,https://www.marches-securises.fr,https://www.marches-securises.fr,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<AGIT_POUR_AUTRE_COMPTE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<ORGANISME_ACHETEUR_CENTRAL_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>","{'travaux': None, 'fournitures': None, 'service': ''}",[20],['Assurance'],non,non
19-133602,fns,cmp2006,appeloffre,initial,2019-09-03,1570204800000.0,2019-10-02,,['65'],,"Services de réalisation de travaux topographiques, parcellaires, d'arpentage et de bornage",COM D AGGL TARBES LOURDES PYRENEES,, M. Le Président,,,Zone tertiaire Pyrène Aéro PôleTéléport 1 - CS 51331,65013,Tarbes cedex 9,,(+33) 5-62-53-34-97,,,marchespublics@agglo-tlp.fr,,https://www.marches-securises.fr,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '27'}",[344],['Topographie'],non,non
19-133533,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['65'],,Modernisation des chaufferies etdes installations thermiques du Collège J.Jaurès à Maubourguet et du Collège Val d'Arros à Tournay,DEPARTEMENT HAUTES-PYRENEES,," PÉLIEU Michel, Le President",,,"Hotel du département, 7 rue Gaston Manent, CS71324",65013,TARBES,,05-62-56-78-65,,,commandepublique@ha-py.fr,http://commandepublique.ha-py.fr/,http://commandepublique.ha-py.fr,,,,,,,,,,,[61],['Chauffage (travaux)'],non,non
19-133452,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['65'],,TRAVAUX DE MISE EN PEINTURE DES FAÇADES DES ARCHIVES DÉPARTEMENTALES DES HAUTES PYRENEES 5 RUE DES URSULINES,DEPARTEMENT HAUTES-PYRENEES,," PÉLIEU Michel, Le President",,,"Hotel du département, 7 rue Gaston Manent, CS71324",65013,TARBES,,05-62-56-78-65,,,commandepublique@ha-py.fr,http://commandepublique.ha-py.fr/,http://commandepublique.ha-py.fr,,,,,,,,,,,[264],['Peinture (travaux)'],non,non
19-133087,mapa,cmp2006,appeloffre,initial,2019-09-03,1568365200000.0,2019-09-13,,['65'],,Rénovation de la résidence communale de piau engaly (fait suite à une déclaration de procédure infructueuse),COMMUNE D ARAGNOUET,,"MOUNIQ Jean, Maire",,,Fabian,65170,Aragnouet,,,,,aragnouet@mairie-aragnouet.com,,,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[53, 87, 222, 269, 270]","['Carrelage', 'Démolition', 'Menuiserie', 'Plâtrerie', 'Plomberie (travaux)']",non,non
19-133136,fns,cmp2006,appeloffre,initial,2019-09-03,1569340800000.0,2019-09-24,,['66'],,Dévoiement de la conduite d'eau potable diamètre 600 pour le contournement de Saint Estève,Perpignan Méditerranée Communauté,, PUJOL- Président Jean-Marc,,,11 boulevard Saint-Assiscle BP 20641,66006,Perpignan,,04-68-08-60-00,,04-68-08-60-01,accueil.pmca@perpignan-mediterranee.org,https://www.perpignanmediterraneemetropole.fr/,http://www.marches-publics.info,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[6, 349]","['Alimentation en eau potable', ""Travaux dans l'eau""]",non,non
19-133363,mapa,cmp2006,appeloffre,initial,2019-09-03,1569841200000.0,2019-09-30,,['67'],,"Audit des Postes de Livraison, de Transformation et du Cablage des Installations",Port Autonome de Strasbourg,, DAF/PAM,,,"25, rue de la Nuée Bleue CS80407",67002,Strasbourg Cedex,,(+33) 3-88-21-74-74,,(+33) 3-88-23-56-57,pam@strasbourg.port.fr,http://www.strasbourg.port.fr,https://portail.alsacemarchespublics.eu/,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[118],['Etude'],non,non
19-133461,mapa,cmp2006,appeloffre,initial,2019-09-03,1570446000000.0,2019-10-07,,['67'],,Inventaire Faune - Flore - Habitats / Etat initial de l'environnement,Port Autonome de Strasbourg,, DAF/PAM,,,"25, rue de la Nuée Bleue CS 80407",67002,Strasbourg Cedex,,(+33) 3-88-21-74-74,,(+33) 3-88-23-56-57,pam@strasbourg.port.fr,http://www.strasbourg.port.fr,https://alsacemarchespublics.eu,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[118],['Etude'],non,non
19-132516,joue,directive24,appeloffre,initial,2019-09-03,,2019-09-10,,"['67', '68', '8', '10', '51', '52', '54', '55', '57']",,Exploitation et la maintenance des installations d'équipements de lutte contre l'incendie (ELI) pour les services déconcentrés de l'État et des établissements publics en région Grand-Es,Préfecture de région Alsace - SGARE,,,,FRF,5 Place de la République,67073,Strasbourg,,(+33) 3-88-21-60-40,,(+33) 3-88-21-60-07,achat@grand-est.gouv.fr,http://www.prefectures-regions.gouv.fr,https://www.marches-publics.gouv.fr/,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=459168&orgAcronyme=g6l,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=459168&orgAcronyme=g6l,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<AGIT_POUR_AUTRE_COMPTE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<ORGANISME_ACHETEUR_CENTRAL_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>","{'travaux': None, 'fournitures': None, 'service': ''}",[119],['Extincteur'],non,non
